"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.18,0.729,"Threshold 1"
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.19,0.722,"Threshold 1"
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.2,0.723,"Threshold 1"
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.21,0.713,"Threshold 1"
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.22,0.714,"Threshold 1"
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.23,0.718,"Threshold 1"
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.24,0.718,"Threshold 1"
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.25,0.725,"Threshold 1"
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.26,0.734,"Threshold 1"
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.27,0.733,"Threshold 1"
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.28,0.734,"Threshold 1"
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.29,0.735,"Threshold 1"
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.3,0.738,"Threshold 1"
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.31,0.74,"Threshold 1"
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.32,0.738,"Threshold 1"
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.33,0.738,"Threshold 1"
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.34,0.737,"Threshold 1"
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.35,0.741,"Threshold 1"
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.36,0.746,"Threshold 1"
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.37,0.74,"Threshold 1"
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.38,0.738,"Threshold 1"
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.39,0.744,"Threshold 1"
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.4,0.749,"Threshold 1"
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.41,0.749,"Threshold 1"
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.42,0.75,"Threshold 1"
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.43,0.757,"Threshold 1"
"27","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.44,0.761,"Threshold 1"
"28","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.45,0.768,"Threshold 1"
"29","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.46,0.776,"Threshold 1"
"30","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.47,0.783,"Threshold 1"
"31","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.48,0.79,"Threshold 1"
"32","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.49,0.794,"Threshold 1"
"33","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.5,0.798,"Threshold 1"
"34","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.51,0.797,"Threshold 1"
"35","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.52,0.8,"Threshold 1"
"36","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.53,0.803,"Threshold 1"
"37","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.54,0.796,"Threshold 1"
