"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",1,0
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",1,0.1
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.994,0.2
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.986,0.3
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.973,0.4
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.966,0.5
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.953,0.6
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.939,0.7
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.91,0.8
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.852,0.9
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Power",0.564,1
