"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0,0.951973440560064,"Estimated MTD"
"y_est2","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.01,0.940075637690377,"Estimated MTD"
"y_est3","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.02,0.928226874227936,"Estimated MTD"
"y_est4","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.03,0.916426847606259,"Estimated MTD"
"y_est5","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.04,0.904675257742816,"Estimated MTD"
"y_est6","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.05,0.892971807013587,"Estimated MTD"
"y_est7","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.06,0.881316200227938,"Estimated MTD"
"y_est8","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.07,0.869708144603804,"Estimated MTD"
"y_est9","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.08,0.85814734974317,"Estimated MTD"
"y_est10","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.09,0.846633527607859,"Estimated MTD"
"y_est11","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.1,0.835166392495606,"Estimated MTD"
"y_est12","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.11,0.823745661016425,"Estimated MTD"
"y_est13","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.12,0.812371052069272,"Estimated MTD"
"y_est14","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.13,0.80104228681897,"Estimated MTD"
"y_est15","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.14,0.789759088673436,"Estimated MTD"
"y_est16","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.15,0.778521183261162,"Estimated MTD"
"y_est17","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.16,0.767328298408978,"Estimated MTD"
"y_est18","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.17,0.75618016412008,"Estimated MTD"
"y_est19","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.18,0.745076512552322,"Estimated MTD"
"y_est20","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.19,0.734017077996757,"Estimated MTD"
"y_est21","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.2,0.723001596856452,"Estimated MTD"
"y_est22","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.21,0.712029807625538,"Estimated MTD"
"y_est23","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.22,0.701101450868521,"Estimated MTD"
"y_est24","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.23,0.690216269199829,"Estimated MTD"
"y_est25","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.24,0.679374007263609,"Estimated MTD"
"y_est26","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.25,0.668574411713755,"Estimated MTD"
"y_est27","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.26,0.657817231194178,"Estimated MTD"
"y_est28","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.27,0.647102216319303,"Estimated MTD"
"y_est29","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.28,0.636429119654799,"Estimated MTD"
"y_est30","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.29,0.625797695698529,"Estimated MTD"
"y_est31","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.3,0.61520770086173,"Estimated MTD"
"y_est32","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.31,0.604658893450409,"Estimated MTD"
"y_est33","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.32,0.59415103364695,"Estimated MTD"
"y_est34","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.33,0.583683883491948,"Estimated MTD"
"y_est35","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.34,0.573257206866241,"Estimated MTD"
"y_est36","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.35,0.562870769473155,"Estimated MTD"
"y_est37","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.36,0.552524338820958,"Estimated MTD"
"y_est38","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.37,0.542217684205509,"Estimated MTD"
"y_est39","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.38,0.531950576693112,"Estimated MTD"
"y_est40","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.39,0.521722789103564,"Estimated MTD"
"y_est41","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.4,0.511534095993402,"Estimated MTD"
"y_est42","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.41,0.501384273639332,"Estimated MTD"
"y_est43","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.42,0.491273100021863,"Estimated MTD"
"y_est44","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.43,0.481200354809108,"Estimated MTD"
"y_est45","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.44,0.471165819340789,"Estimated MTD"
"y_est46","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.45,0.461169276612408,"Estimated MTD"
"y_est47","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.46,0.451210511259607,"Estimated MTD"
"y_est48","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.47,0.441289309542701,"Estimated MTD"
"y_est49","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.48,0.431405459331386,"Estimated MTD"
"y_est50","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.49,0.42155875008962,"Estimated MTD"
"y_est51","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.5,0.411748972860675,"Estimated MTD"
"y_est52","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.51,0.401975920252357,"Estimated MTD"
"y_est53","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.52,0.392239386422385,"Estimated MTD"
"y_est54","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.53,0.382539167063945,"Estimated MTD"
"y_est55","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.54,0.3728750593914,"Estimated MTD"
"y_est56","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.55,0.363246862126152,"Estimated MTD"
"y_est57","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.56,0.353654375482675,"Estimated MTD"
"y_est58","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.57,0.344097401154694,"Estimated MTD"
"y_est59","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.58,0.334575742301518,"Estimated MTD"
"y_est60","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.59,0.325089203534527,"Estimated MTD"
"y_est61","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.6,0.315637590903809,"Estimated MTD"
"y_est62","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.61,0.306220711884938,"Estimated MTD"
"y_est63","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.62,0.296838375365904,"Estimated MTD"
"y_est64","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.63,0.287490391634185,"Estimated MTD"
"y_est65","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.64,0.278176572363959,"Estimated MTD"
"y_est66","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.65,0.268896730603458,"Estimated MTD"
"y_est67","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.66,0.259650680762458,"Estimated MTD"
"y_est68","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.67,0.250438238599906,"Estimated MTD"
