"","x","y","DLT_scenario","EFF_scenario"
"1",1,0.276123345985227,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"2",0.27,0.976183729867786,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"3",0.16,0.97956157876492,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"4",0.22,0.991592278916429,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"5",1,0.113657698765156,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"6",0.02,0.996361706610901,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"7",1,0.322841605820366,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"8",0.22,0.982046180749188,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"9",0.2,0.99823183356578,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"10",0.29,0.992914438886297,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"11",0.21,0.99244393278517,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"12",1,0.341652243256648,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"13",0.2,0.9791763641075,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"14",1,0.110495211625463,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"15",1,0.159042806552439,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"16",0.21,0.975868188317575,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"17",0.31,0.980413159358965,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"18",1,0.247486872703003,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"19",0,0.995856793230336,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"20",0.17,0.979642918315632,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"21",1,0.160764647577602,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"22",1,0.161918657278567,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
"23",0.24,0.986687060359577,"Dose-toxicity scenario 2","Dose-efficacy scenario 3"
