"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",1,0
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.837,0.1
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.61,0.2
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.5,0.3
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.424,0.4
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.356,0.5
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.29,0.6
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.215,0.7
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.153,0.8
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0.076,0.9
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Type-I error",0,1
