"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.18,0.653,"Threshold 1"
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.19,0.66,"Threshold 1"
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.2,0.67,"Threshold 1"
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.21,0.68,"Threshold 1"
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.22,0.691,"Threshold 1"
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.23,0.701,"Threshold 1"
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.24,0.703,"Threshold 1"
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.25,0.708,"Threshold 1"
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.26,0.714,"Threshold 1"
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.27,0.717,"Threshold 1"
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.28,0.722,"Threshold 1"
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.29,0.728,"Threshold 1"
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.3,0.734,"Threshold 1"
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.31,0.746,"Threshold 1"
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.32,0.751,"Threshold 1"
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.33,0.759,"Threshold 1"
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.34,0.768,"Threshold 1"
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.35,0.769,"Threshold 1"
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.36,0.772,"Threshold 1"
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.37,0.776,"Threshold 1"
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.38,0.785,"Threshold 1"
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.39,0.787,"Threshold 1"
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.4,0.783,"Threshold 1"
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.41,0.789,"Threshold 1"
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.42,0.788,"Threshold 1"
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.43,0.791,"Threshold 1"
"27","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.44,0.795,"Threshold 1"
"28","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.45,0.795,"Threshold 1"
"29","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.46,0.793,"Threshold 1"
"30","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.47,0.797,"Threshold 1"
"31","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.48,0.793,"Threshold 1"
"32","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.49,0.792,"Threshold 1"
"33","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.5,0.794,"Threshold 1"
"34","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.51,0.798,"Threshold 1"
"35","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.52,0.806,"Threshold 1"
"36","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.53,0.812,"Threshold 1"
"37","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.54,0.821,"Threshold 1"
"38","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.55,0.819,"Threshold 1"
"39","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.56,0.818,"Threshold 1"
"40","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.57,0.813,"Threshold 1"
"41","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.58,0.81,"Threshold 1"
"42","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.59,0.81,"Threshold 1"
"43","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.6,0.808,"Threshold 1"
"44","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.61,0.808,"Threshold 1"
"45","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.62,0.806,"Threshold 1"
"46","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.63,0.807,"Threshold 1"
"47","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.64,0.806,"Threshold 1"
"48","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.65,0.799,"Threshold 1"
"49","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.66,0.796,"Threshold 1"
"50","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.67,0.795,"Threshold 1"
"51","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.68,0.786,"Threshold 1"
"52","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.69,0.782,"Threshold 1"
"53","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.7,0.779,"Threshold 1"
"54","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.71,0.773,"Threshold 1"
"55","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.72,0.771,"Threshold 1"
"56","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.73,0.773,"Threshold 1"
"57","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.74,0.774,"Threshold 1"
"58","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.75,0.768,"Threshold 1"
"59","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.76,0.76,"Threshold 1"
"60","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.77,0.756,"Threshold 1"
"61","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.78,0.746,"Threshold 1"
"62","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.79,0.738,"Threshold 1"
"63","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.8,0.728,"Threshold 1"
"64","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.81,0.728,"Threshold 1"
"65","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.82,0.724,"Threshold 1"
"66","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.83,0.72,"Threshold 1"
"67","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.84,0.716,"Threshold 1"
"68","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.85,0.713,"Threshold 1"
"69","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.86,0.706,"Threshold 1"
"70","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.87,0.7,"Threshold 1"
"71","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.88,0.698,"Threshold 1"
"72","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.89,0.694,"Threshold 1"
"73","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.9,0.685,"Threshold 1"
"74","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.91,0.681,"Threshold 1"
"75","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.92,0.681,"Threshold 1"
"76","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.93,0.679,"Threshold 1"
"77","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.94,0.671,"Threshold 1"
"78","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.95,0.67,"Threshold 1"
"79","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.96,0.667,"Threshold 1"
"80","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.97,0.664,"Threshold 1"
"81","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.98,0.658,"Threshold 1"
"82","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.99,0.652,"Threshold 1"
"83","Dose-toxicity scenario 2","Dose-efficacy scenario 3",1,0.647,"Threshold 1"
"84","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.18,0.852,"Threshold 2"
"85","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.19,0.858,"Threshold 2"
"86","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.2,0.873,"Threshold 2"
"87","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.21,0.889,"Threshold 2"
"88","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.22,0.909,"Threshold 2"
"89","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.23,0.918,"Threshold 2"
"90","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.24,0.922,"Threshold 2"
"91","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.25,0.931,"Threshold 2"
"92","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.26,0.937,"Threshold 2"
"93","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.27,0.946,"Threshold 2"
"94","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.28,0.952,"Threshold 2"
"95","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.29,0.953,"Threshold 2"
"96","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.3,0.954,"Threshold 2"
"97","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.31,0.961,"Threshold 2"
"98","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.32,0.964,"Threshold 2"
"99","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.33,0.965,"Threshold 2"
"100","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.34,0.966,"Threshold 2"
"101","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.35,0.966,"Threshold 2"
"102","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.36,0.966,"Threshold 2"
"103","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.37,0.968,"Threshold 2"
"104","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.38,0.97,"Threshold 2"
"105","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.39,0.97,"Threshold 2"
"106","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.4,0.971,"Threshold 2"
"107","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.41,0.971,"Threshold 2"
"108","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.42,0.971,"Threshold 2"
"109","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.43,0.969,"Threshold 2"
"110","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.44,0.968,"Threshold 2"
"111","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.45,0.969,"Threshold 2"
"112","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.46,0.968,"Threshold 2"
"113","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.47,0.969,"Threshold 2"
"114","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.48,0.968,"Threshold 2"
"115","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.49,0.968,"Threshold 2"
"116","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.5,0.968,"Threshold 2"
"117","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.51,0.967,"Threshold 2"
"118","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.52,0.968,"Threshold 2"
"119","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.53,0.971,"Threshold 2"
"120","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.54,0.973,"Threshold 2"
"121","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.55,0.975,"Threshold 2"
"122","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.56,0.977,"Threshold 2"
"123","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.57,0.977,"Threshold 2"
"124","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.58,0.977,"Threshold 2"
"125","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.59,0.978,"Threshold 2"
"126","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.6,0.978,"Threshold 2"
"127","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.61,0.977,"Threshold 2"
"128","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.62,0.978,"Threshold 2"
"129","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.63,0.978,"Threshold 2"
"130","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.64,0.979,"Threshold 2"
"131","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.65,0.977,"Threshold 2"
"132","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.66,0.978,"Threshold 2"
"133","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.67,0.976,"Threshold 2"
"134","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.68,0.975,"Threshold 2"
"135","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.69,0.973,"Threshold 2"
"136","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.7,0.971,"Threshold 2"
"137","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.71,0.97,"Threshold 2"
