"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0,1.10204394049849,"Estimated MTD"
"y_est2","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.01,1.08141138894801,"Estimated MTD"
"y_est3","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.02,1.06124673993742,"Estimated MTD"
"y_est4","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.03,1.04153425536324,"Estimated MTD"
"y_est5","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.04,1.02225889510686,"Estimated MTD"
"y_est6","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.05,1.00340627876431,"Estimated MTD"
"y_est7","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.06,0.984962649866706,"Estimated MTD"
"y_est8","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.07,0.966914842404398,"Estimated MTD"
"y_est9","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.08,0.949250249483437,"Estimated MTD"
"y_est10","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.09,0.931956793957691,"Estimated MTD"
"y_est11","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.1,0.915022900892794,"Estimated MTD"
"y_est12","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.11,0.898437471729985,"Estimated MTD"
"y_est13","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.12,0.882189860028673,"Estimated MTD"
"y_est14","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.13,0.866269848676311,"Estimated MTD"
"y_est15","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.14,0.850667628463052,"Estimated MTD"
"y_est16","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.15,0.835373777926799,"Estimated MTD"
"y_est17","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.16,0.820379244381608,"Estimated MTD"
"y_est18","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.17,0.805675326049183,"Estimated MTD"
"y_est19","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.18,0.791253655219349,"Estimated MTD"
"y_est20","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.19,0.777106182371033,"Estimated MTD"
"y_est21","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.2,0.763225161190435,"Estimated MTD"
"y_est22","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.21,0.749603134427791,"Estimated MTD"
"y_est23","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.22,0.736232920538495,"Estimated MTD"
"y_est24","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.23,0.723107601058265,"Estimated MTD"
"y_est25","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.24,0.71022050866575,"Estimated MTD"
"y_est26","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.25,0.697565215889285,"Estimated MTD"
"y_est27","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.26,0.685135524417609,"Estimated MTD"
"y_est28","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.27,0.672925454977189,"Estimated MTD"
"y_est29","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.28,0.660929237741433,"Estimated MTD"
"y_est30","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.29,0.649141303239447,"Estimated MTD"
"y_est31","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.3,0.637556273734265,"Estimated MTD"
"y_est32","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.31,0.626168955042485,"Estimated MTD"
"y_est33","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.32,0.614974328769196,"Estimated MTD"
"y_est34","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.33,0.603967544933778,"Estimated MTD"
"y_est35","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.34,0.59314391496383,"Estimated MTD"
"y_est36","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.35,0.582498905035963,"Estimated MTD"
"y_est37","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.36,0.572028129743568,"Estimated MTD"
"y_est38","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.37,0.561727346073004,"Estimated MTD"
"y_est39","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.38,0.551592447670807,"Estimated MTD"
"y_est40","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.39,0.54161945938565,"Estimated MTD"
"y_est41","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.4,0.53180453206982,"Estimated MTD"
"y_est42","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.41,0.522143937625916,"Estimated MTD"
"y_est43","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.42,0.512634064285397,"Estimated MTD"
"y_est44","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.43,0.503271412106393,"Estimated MTD"
"y_est45","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.44,0.49405258867902,"Estimated MTD"
"y_est46","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.45,0.484974305027094,"Estimated MTD"
"y_est47","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.46,0.476033371695874,"Estimated MTD"
"y_est48","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.47,0.467226695016034,"Estimated MTD"
