"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",1,0
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.997,0.1
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.987,0.2
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.975,0.3
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.956,0.4
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.932,0.5
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.91,0.6
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.877,0.7
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.823,0.8
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.761,0.9
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 1","Power",0.239,1
