"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.02,-0.0566025546455829
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.03,-0.0510844426168536
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.04,-0.0466140096670656
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.05,-0.0429951978553804
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.06,-0.040066487112941
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.07,-0.0376581936094779
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.08,-0.0356237964932999
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.09,-0.0338584975426329
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.1,-0.0322629228827493
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.11,-0.0307682598379746
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.12,-0.0293392763393142
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.13,-0.0279627431415659
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.14,-0.0266342444410953
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.15,-0.0253523426373855
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.16,-0.024116318259473
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.17,-0.0229253565178702
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.18,-0.0217788196063148
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.19,-0.0206759192902892
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.2,-0.0196160343140366
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.21,-0.0185984152122046
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.22,-0.0176224098968825
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.23,-0.0166873915941203
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.24,-0.0157925716389117
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.25,-0.0149374592382982
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.26,-0.0141213753281855
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.27,-0.0133437258068277
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.28,-0.0126038867283085
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.29,-0.01190129413365
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.3,-0.0112353829754979
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.31,-0.0106055770154451
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.32,-0.0100113688683564
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.33,-0.00945221202154519
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.34,-0.0089276005786696
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.35,-0.00843706687405179
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.36,-0.00798004715669447
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.37,-0.00755617918472459
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.38,-0.00716496881674392
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.39,-0.00680597894203479
"39","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.4,-0.00647882553543718
"40","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.41,-0.00618305689450045
"41","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.42,-0.00591833517070943
"42","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.43,-0.00568427511901551
"43","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.44,-0.00548049593227621
"44","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.45,-0.00530671332098456
