"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.18,-0.0938752971134534
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.19,-0.0852340056631517
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.2,-0.0771932810313509
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.21,-0.0696993297027271
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.22,-0.0627111939144422
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.23,-0.0561977689536634
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.24,-0.0501313998286723
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.25,-0.0444865851817993
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.26,-0.0392396548466543
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.27,-0.0343687805762625
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.28,-0.0298534145321893
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.29,-0.0256747714061261
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.3,-0.0218149665452103
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.31,-0.0182580008710724
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.32,-0.014987909496659
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.33,-0.011990499247044
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.34,-0.00925219315995806
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.35,-0.00676028438147562
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.36,-0.00450285719201414
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.37,-0.00246867621953976
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.38,-0.000647141827855164
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.39,0.000971690952967169
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.4,0.00239729082765931
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.41,0.003638346341831
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.42,0.00470347980954127
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.43,0.00560051402646546
"27","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.44,0.00633697286537931
"28","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.45,0.00692005196410911
"29","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.46,0.00735640546716863
"30","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.47,0.0076524832498182
"31","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.48,0.00781435326999157
"32","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.49,0.007847774062033
"33","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.5,0.00775825610922444
"34","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.51,0.00755099689787962
"35","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.52,0.00723095471093674
"36","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.53,0.00680286656951837
