"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0,0.944401730858533,"Estimated MTD"
"y_est2","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.01,0.932162448155054,"Estimated MTD"
"y_est3","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.02,0.919992788780189,"Estimated MTD"
"y_est4","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.03,0.907892160338962,"Estimated MTD"
"y_est5","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.04,0.895859977137969,"Estimated MTD"
"y_est6","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.05,0.883895660090882,"Estimated MTD"
"y_est7","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.06,0.871998636625539,"Estimated MTD"
"y_est8","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.07,0.860168340592608,"Estimated MTD"
"y_est9","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.08,0.848404212175777,"Estimated MTD"
"y_est10","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.09,0.836705697803448,"Estimated MTD"
"y_est11","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.1,0.825072250061906,"Estimated MTD"
"y_est12","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.11,0.813503327609932,"Estimated MTD"
"y_est13","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.12,0.801998395094831,"Estimated MTD"
"y_est14","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.13,0.790556923069852,"Estimated MTD"
"y_est15","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.14,0.779178387912971,"Estimated MTD"
"y_est16","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.15,0.767862271747009,"Estimated MTD"
"y_est17","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.16,0.756608062361058,"Estimated MTD"
"y_est18","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.17,0.745415253133205,"Estimated MTD"
"y_est19","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.18,0.7342833429545,"Estimated MTD"
"y_est20","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.19,0.723211836154174,"Estimated MTD"
"y_est21","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.2,0.712200242426072,"Estimated MTD"
"y_est22","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.21,0.701248076756264,"Estimated MTD"
"y_est23","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.22,0.690354859351843,"Estimated MTD"
"y_est24","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.23,0.679520115570852,"Estimated MTD"
"y_est25","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.24,0.668743375853351,"Estimated MTD"
"y_est26","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.25,0.658024175653578,"Estimated MTD"
"y_est27","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.26,0.6473620553732,"Estimated MTD"
"y_est28","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.27,0.636756560295623,"Estimated MTD"
"y_est29","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.28,0.626207240521348,"Estimated MTD"
"y_est30","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.29,0.615713650904353,"Estimated MTD"
"y_est31","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.3,0.60527535098948,"Estimated MTD"
"y_est32","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.31,0.594891904950802,"Estimated MTD"
"y_est33","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.32,0.584562881530973,"Estimated MTD"
"y_est34","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.33,0.574287853981516,"Estimated MTD"
"y_est35","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.34,0.564066400004052,"Estimated MTD"
"y_est36","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.35,0.553898101692446,"Estimated MTD"
"y_est37","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.36,0.543782545475848,"Estimated MTD"
"y_est38","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.37,0.533719322062624,"Estimated MTD"
"y_est39","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.38,0.523708026385153,"Estimated MTD"
"y_est40","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.39,0.513748257545472,"Estimated MTD"
"y_est41","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.4,0.503839618761769,"Estimated MTD"
"y_est42","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.41,0.493981717315682,"Estimated MTD"
"y_est43","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.42,0.484174164500424,"Estimated MTD"
"y_est44","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.43,0.474416575569682,"Estimated MTD"
"y_est45","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.44,0.464708569687313,"Estimated MTD"
"y_est46","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.45,0.455049769877787,"Estimated MTD"
"y_est47","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.46,0.445439802977402,"Estimated MTD"
"y_est48","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.47,0.435878299586213,"Estimated MTD"
"y_est49","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.48,0.426364894020712,"Estimated MTD"
"y_est50","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.49,0.416899224267199,"Estimated MTD"
"y_est51","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.5,0.407480931935863,"Estimated MTD"
"y_est52","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.51,0.398109662215555,"Estimated MTD"
"y_est53","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.52,0.388785063829225,"Estimated MTD"
"y_est54","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.53,0.379506788990032,"Estimated MTD"
"y_est55","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.54,0.370274493358106,"Estimated MTD"
"y_est56","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.55,0.361087835997946,"Estimated MTD"
"y_est57","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.56,0.351946479336453,"Estimated MTD"
"y_est58","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.57,0.342850089121579,"Estimated MTD"
"y_est59","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.58,0.333798334381591,"Estimated MTD"
