"","x","y","DLT_scenario","EFF_scenario"
"1",0.89,0.108649595678095,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"2",0.9,0.101097898240272,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"3",0.91,0.0935470879587557,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"4",0.92,0.0859971646772234,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"5",0.93,0.0784481282393893,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"6",0.94,0.0708999784890042,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"7",0.95,0.063352715269856,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"8",0.96,0.0558063384257689,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"9",0.97,0.048260847800604,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"10",0.98,0.040716243238259,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"11",0.99,0.0331725245826681,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"12",1,0.0256296916778025,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"13",0.06,0.840281225478467,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"14",1,0.06822629834376,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"15",0.07,0.956925522046274,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"16",0.18,0.974003834678389,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"17",0.97,0.104120083418659,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"18",0.98,0.0988842920235083,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"19",0.99,0.0936791745571944,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"20",1,0.0885044622517946,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"21",0.97,0.0141547815941197,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"22",0.68,0.15413169390157,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"23",0.81,0.107079070438912,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"24",0.96,0.0336212866451574,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"25",0.98,0.0251133777205511,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"26",0.1,0.885476682123657,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"27",0.12,0.861280358469427,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"28",0.04,0.986878404822877,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"29",0.96,0.00821935720238227,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"30",0.05,0.911379251711495,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"31",0.18,0.984959861699231,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"32",0.19,0.966612779023843,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"33",0.2,0.948268778720973,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"34",0.21,0.929927860013912,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"35",0.87,0.00886534765097954,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"36",0.93,0.00240616449559173,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"37",0.97,0.0755416537653952,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"38",0.98,0.0675949842513831,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"39",0.99,0.0596483313251694,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"40",1,0.0517016949867019,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"41",0.78,0.000257003993241129,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"42",0.86,0.214461878227521,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"43",0.95,0.109123394931209,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"44",0.96,0.102254085388537,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"45",0.97,0.0953847758803088,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"46",0.98,0.0885154664065239,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"47",0.99,0.0816461569671825,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"48",1,0.0747768475622847,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"49",0.08,0.984917385063188,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"50",0.88,0.167728660413939,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"51",0.86,0.168819579326784,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"52",0.87,0.162036370107207,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"53",0.86,0.130536535582654,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"54",0.87,0.122690309555515,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"55",0.88,0.114844249924101,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"56",0.89,0.106998356683119,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"57",0.9,0.0991526298272771,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"58",0.91,0.0913070693512816,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"59",0.92,0.0834616752498405,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"60",0.93,0.0756164475176614,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"61",0.94,0.0677713861494524,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"62",0.95,0.0599264911399218,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"63",0.96,0.0520817624837781,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"64",0.97,0.0442372001757298,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"65",0.98,0.0363928042104859,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"66",0.99,0.0285485745827556,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"67",1,0.0207045112872483,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"68",1,0.108740002497214,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"69",0.79,0.243051808498814,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"70",0.8,0.238928621311309,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"71",0.81,0.234856672738491,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"72",0.82,0.230835013569196,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"73",0.83,0.22686271789427,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"74",0.84,0.222938882395892,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"75",0.85,0.219062625662737,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"76",0.86,0.215233087529907,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"77",0.87,0.211449428442586,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"78",0.88,0.207710828842426,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"79",0.89,0.204016488575726,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"80",0.9,0.200365626322512,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"81",0.91,0.196757479045648,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"82",0.92,0.193191301459175,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"83",0.93,0.189666365515099,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"84",0.94,0.186181959907873,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"85",0.95,0.182737389595881,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"86",0.96,0.179331975339241,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"87",0.97,0.175965053253273,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"88",0.98,0.172635974377036,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"89",0.99,0.169344104256318,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"90",1,0.166088822540545,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"91",0.92,0.00269346214412655,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"92",0.26,0.822151730056596,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"93",0.84,0.157127027643837,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"94",0.85,0.150674040679679,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"95",0.86,0.144221053943683,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"96",0.87,0.137768067435849,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"97",0.88,0.131315081156178,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"98",0.89,0.12486209510467,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"99",0.9,0.118409109281323,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"100",0.91,0.11195612368614,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"101",0.92,0.105503138319118,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"102",0.93,0.0990501531802589,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"103",0.94,0.0925971682695621,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"104",0.95,0.0861441835870276,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"105",0.96,0.0796911991326555,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"106",0.97,0.0732382149064457,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"107",0.98,0.0667852309083981,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"108",0.99,0.0603322471385128,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"109",1,0.0538792635967898,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"110",0.73,0.31897910246996,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"111",0.74,0.310017541905155,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"112",0.75,0.301062360794815,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"113",0.76,0.292113552329364,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"114",0.77,0.283171109708912,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"115",0.78,0.274235026143242,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"116",0.79,0.265305294851789,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"117",0.8,0.256381909063625,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"118",0.81,0.247464862017442,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"119",0.82,0.238554146961534,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"120",0.83,0.229649757153781,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"121",0.84,0.220751685861631,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"122",0.85,0.211859926362082,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"123",0.86,0.202974471941669,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"124",0.87,0.194095315896442,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"125",0.88,0.185222451531954,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"126",0.89,0.176355872163241,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"127",0.9,0.167495571114805,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"128",0.91,0.1586415417206,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"129",0.92,0.149793777324012,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"130",0.93,0.140952271277846,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"131",0.94,0.132117016944306,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"132",0.95,0.123288007694978,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"133",0.96,0.114465236910819,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"134",0.05,0.999364359648159,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
"135",0.98,0.13704082294326,"Dose-toxicity scenario 1","Dose-efficacy scenario 3"
