"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",1,0
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.997,0.1
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.981,0.2
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.962,0.3
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.94,0.4
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.921,0.5
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.882,0.6
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.845,0.7
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.793,0.8
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.698,0.9
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 2","Power",0.163,1
