"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0,1.45887105802501,"Estimated MTD"
"y_est2","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.01,1.42139478198846,"Estimated MTD"
"y_est3","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.02,1.38514603293628,"Estimated MTD"
"y_est4","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.03,1.35006547163506,"Estimated MTD"
"y_est5","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.04,1.31609752284898,"Estimated MTD"
"y_est6","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.05,1.28319008155195,"Estimated MTD"
"y_est7","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.06,1.25129424623383,"Estimated MTD"
"y_est8","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.07,1.22036407642945,"Estimated MTD"
"y_est9","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.08,1.19035637194221,"Estimated MTD"
"y_est10","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.09,1.16123047153076,"Estimated MTD"
"y_est11","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.1,1.13294806908604,"Estimated MTD"
"y_est12","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.11,1.10547304555115,"Estimated MTD"
"y_est13","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.12,1.07877131503319,"Estimated MTD"
"y_est14","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.13,1.05281068372851,"Estimated MTD"
"y_est15","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.14,1.02756072043359,"Estimated MTD"
"y_est16","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.15,1.00299263754665,"Estimated MTD"
"y_est17","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.16,0.979079181581448,"Estimated MTD"
"y_est18","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.17,0.955794532318013,"Estimated MTD"
"y_est19","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.18,0.933114209805619,"Estimated MTD"
"y_est20","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.19,0.911014988513906,"Estimated MTD"
"y_est21","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.2,0.88947481799924,"Estimated MTD"
"y_est22","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.21,0.868472749516651,"Estimated MTD"
"y_est23","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.22,0.847988868063909,"Estimated MTD"
"y_est24","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.23,0.828004229394369,"Estimated MTD"
"y_est25","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.24,0.80850080157982,"Estimated MTD"
"y_est26","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.25,0.789461410744446,"Estimated MTD"
"y_est27","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.26,0.770869690626645,"Estimated MTD"
"y_est28","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.27,0.752710035657337,"Estimated MTD"
