"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.02,-0.049030997968593
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.03,-0.0437945638473053
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.04,-0.0395314145537107
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.05,-0.0360837418449506
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.06,-0.0333022589812663
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.07,-0.0310293908088131
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.08,-0.029119382487472
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.09,-0.0274497385742137
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.1,-0.0259240365466978
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.11,-0.0244870272144348
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.12,-0.0231074071585969
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.13,-0.0217774119974382
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.14,-0.0204952360293594
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.15,-0.0192601070743076
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.16,-0.0180713120188762
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.17,-0.0169279935876696
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.18,-0.0158295895644343
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.19,-0.0147753187902237
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.2,-0.0137645928711127
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.21,-0.0127966578260086
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.22,-0.0118708791341692
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.23,-0.0109865714275562
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.24,-0.0101431776498573
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.25,-0.00934001021187426
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.26,-0.00857646744699642
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.27,-0.00785199426787994
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.28,-0.00716595103555794
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.29,-0.00651779605768075
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.3,-0.00590696020243239
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.31,-0.00533290112313418
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.32,-0.00479512767087395
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.33,-0.0042930277366842
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.34,-0.00382618239138102
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.35,-0.00339407638592592
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.36,-0.00299622922778704
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.37,-0.00263218324488825
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.38,-0.00230148456163456
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.39,-0.00200372134843507
