"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.02,-0.0548763852444223
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.03,-0.0496610124676218
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.04,-0.0453424541078656
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.05,-0.0418164716711307
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.06,-0.0389501596534255
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.07,-0.0365988924100438
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.08,-0.0346424731606352
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.09,-0.032984753696379
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.1,-0.0315334171267352
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.11,-0.0301974022016041
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.12,-0.0289317665947443
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.13,-0.0277181274793184
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.14,-0.0265462831769748
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.15,-0.0254127942026725
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.16,-0.0243168360994902
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.17,-0.0232576102207516
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.18,-0.0222343492179303
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.19,-0.02124627279658
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.2,-0.0202926801803089
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.21,-0.0193728013721561
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.22,-0.0184859213414131
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.23,-0.0176313270713075
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.24,-0.0168083141530737
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.25,-0.016016221155994
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.26,-0.0152543622816099
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.27,-0.014522102411571
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.28,-0.0138187945593232
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.29,-0.0131438158082679
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.3,-0.0124965813065207
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.31,-0.0118764847470531
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.32,-0.0112829531223887
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.33,-0.0107154702316871
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.34,-0.0101734920186246
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.35,-0.00965651287712505
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.36,-0.00916404799281898
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.37,-0.00869563297017947
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.38,-0.00825083286505849
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.39,-0.00782921488294395
"39","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.4,-0.00743038889557127
"40","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.41,-0.00705398131022736
"41","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.42,-0.00669963324531066
"42","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.43,-0.00636702650109325
"43","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.44,-0.00605584935414924
"44","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.45,-0.00576581776913926
"45","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.46,-0.00549665821580645
"46","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.47,-0.00524811423030786
"47","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.48,-0.00502008083814586
"48","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.49,-0.00481223621742297
"49","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.5,-0.0046244396747949
"50","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.51,-0.00445653256219972
"51","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.52,-0.00430835903662549
"52","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.53,-0.00417985013695288
"53","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.54,-0.00407084183880045
"54","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.55,-0.00398125370280701
"55","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.56,-0.00391103463953213
