"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.02,0.494,"Threshold 1"
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.03,0.526,"Threshold 1"
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.04,0.545,"Threshold 1"
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.05,0.558,"Threshold 1"
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.06,0.572,"Threshold 1"
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.07,0.577,"Threshold 1"
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.08,0.584,"Threshold 1"
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.09,0.587,"Threshold 1"
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.1,0.601,"Threshold 1"
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.11,0.608,"Threshold 1"
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.12,0.62,"Threshold 1"
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.13,0.625,"Threshold 1"
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.14,0.629,"Threshold 1"
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.15,0.636,"Threshold 1"
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.16,0.645,"Threshold 1"
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.17,0.651,"Threshold 1"
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.18,0.665,"Threshold 1"
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.19,0.673,"Threshold 1"
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.2,0.675,"Threshold 1"
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.21,0.678,"Threshold 1"
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.22,0.685,"Threshold 1"
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.23,0.692,"Threshold 1"
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.24,0.691,"Threshold 1"
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.25,0.701,"Threshold 1"
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.26,0.702,"Threshold 1"
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.27,0.715,"Threshold 1"
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.28,0.72,"Threshold 1"
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.29,0.725,"Threshold 1"
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.3,0.729,"Threshold 1"
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.31,0.741,"Threshold 1"
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.32,0.745,"Threshold 1"
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.33,0.754,"Threshold 1"
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.34,0.761,"Threshold 1"
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.35,0.768,"Threshold 1"
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.36,0.775,"Threshold 1"
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.37,0.786,"Threshold 1"
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.38,0.788,"Threshold 1"
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.39,0.797,"Threshold 1"
"39","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.4,0.799,"Threshold 1"
"40","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.41,0.805,"Threshold 1"
"41","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.42,0.813,"Threshold 1"
"42","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.43,0.819,"Threshold 1"
"43","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.44,0.83,"Threshold 1"
"44","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.45,0.837,"Threshold 1"
"45","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.46,0.84,"Threshold 1"
"46","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.47,0.846,"Threshold 1"
"47","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.48,0.849,"Threshold 1"
"48","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.49,0.85,"Threshold 1"
"49","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.5,0.854,"Threshold 1"
"50","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.51,0.856,"Threshold 1"
"51","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.52,0.859,"Threshold 1"
"52","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.53,0.862,"Threshold 1"
"53","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.54,0.865,"Threshold 1"
"54","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.55,0.864,"Threshold 1"
"55","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.56,0.858,"Threshold 1"
"56","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.57,0.857,"Threshold 1"
"57","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.58,0.856,"Threshold 1"
"58","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.59,0.858,"Threshold 1"
"59","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.6,0.858,"Threshold 1"
"60","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.61,0.854,"Threshold 1"
"61","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.62,0.853,"Threshold 1"
"62","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.63,0.852,"Threshold 1"
"63","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.64,0.853,"Threshold 1"
"64","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.65,0.854,"Threshold 1"
"65","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.66,0.857,"Threshold 1"
"66","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.67,0.855,"Threshold 1"
"67","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.68,0.847,"Threshold 1"
"68","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.69,0.837,"Threshold 1"
"69","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.7,0.836,"Threshold 1"
"70","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.71,0.832,"Threshold 1"
"71","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.72,0.829,"Threshold 1"
"72","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.73,0.828,"Threshold 1"
"73","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.74,0.827,"Threshold 1"
"74","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.75,0.817,"Threshold 1"
"75","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.76,0.81,"Threshold 1"
"76","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.77,0.809,"Threshold 1"
"77","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.78,0.803,"Threshold 1"
"78","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.79,0.796,"Threshold 1"
"79","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.8,0.794,"Threshold 1"
"80","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.81,0.788,"Threshold 1"
"81","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.82,0.785,"Threshold 1"
"82","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.83,0.782,"Threshold 1"
