"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0,0.941597074882984,"Estimated MTD"
"y_est2","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.01,0.929790263346292,"Estimated MTD"
"y_est3","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.02,0.918033458426783,"Estimated MTD"
"y_est4","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.03,0.906326343098482,"Estimated MTD"
"y_est5","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.04,0.894668603009554,"Estimated MTD"
"y_est6","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.05,0.883059926454166,"Estimated MTD"
"y_est7","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.06,0.87150000434471,"Estimated MTD"
"y_est8","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.07,0.859988530184364,"Estimated MTD"
"y_est9","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.08,0.848525200040008,"Estimated MTD"
"y_est10","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.09,0.837109712515475,"Estimated MTD"
"y_est11","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.1,0.825741768725133,"Estimated MTD"
"y_est12","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.11,0.814421072267801,"Estimated MTD"
"y_est13","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.12,0.803147329200988,"Estimated MTD"
"y_est14","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.13,0.791920248015451,"Estimated MTD"
"y_est15","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.14,0.78073953961007,"Estimated MTD"
"y_est16","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.15,0.769604917267034,"Estimated MTD"
"y_est17","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.16,0.758516096627328,"Estimated MTD"
"y_est18","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.17,0.747472795666529,"Estimated MTD"
"y_est19","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.18,0.736474734670895,"Estimated MTD"
"y_est20","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.19,0.725521636213749,"Estimated MTD"
"y_est21","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.2,0.714613225132153,"Estimated MTD"
"y_est22","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.21,0.703749228503862,"Estimated MTD"
"y_est23","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.22,0.692929375624566,"Estimated MTD"
"y_est24","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.23,0.682153397985402,"Estimated MTD"
"y_est25","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.24,0.671421029250747,"Estimated MTD"
"y_est26","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.25,0.66073200523627,"Estimated MTD"
"y_est27","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.26,0.650086063887258,"Estimated MTD"
