"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.02,0.539,"Threshold 1"
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.03,0.561,"Threshold 1"
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.04,0.576,"Threshold 1"
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.05,0.585,"Threshold 1"
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.06,0.599,"Threshold 1"
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.07,0.606,"Threshold 1"
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.08,0.61,"Threshold 1"
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.09,0.615,"Threshold 1"
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.1,0.623,"Threshold 1"
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.11,0.632,"Threshold 1"
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.12,0.646,"Threshold 1"
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.13,0.649,"Threshold 1"
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.14,0.653,"Threshold 1"
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.15,0.661,"Threshold 1"
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.16,0.669,"Threshold 1"
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.17,0.679,"Threshold 1"
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.18,0.686,"Threshold 1"
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.19,0.693,"Threshold 1"
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.2,0.7,"Threshold 1"
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.21,0.714,"Threshold 1"
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.22,0.734,"Threshold 1"
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.23,0.746,"Threshold 1"
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.24,0.754,"Threshold 1"
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.25,0.764,"Threshold 1"
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.26,0.774,"Threshold 1"
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.27,0.787,"Threshold 1"
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.28,0.792,"Threshold 1"
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.29,0.797,"Threshold 1"
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.3,0.803,"Threshold 1"
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.31,0.813,"Threshold 1"
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.32,0.821,"Threshold 1"
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.33,0.823,"Threshold 1"
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.34,0.837,"Threshold 1"
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.35,0.841,"Threshold 1"
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.36,0.849,"Threshold 1"
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.37,0.855,"Threshold 1"
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.38,0.861,"Threshold 1"
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.39,0.865,"Threshold 1"
"39","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.4,0.876,"Threshold 1"
"40","Dose-toxicity scenario 1","Dose-efficacy scenario 4",0.41,0.879,"Threshold 1"
