"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.18,-0.0938037145266349
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.19,-0.084742462922838
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.2,-0.0762776914832122
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.21,-0.0683583144369652
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.22,-0.0609474950435131
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.23,-0.0540148582246638
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.24,-0.0475324406219185
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.25,-0.0414744666848886
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.26,-0.0358170637784742
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.27,-0.0305381337673529
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.28,-0.0256171262496084
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.29,-0.0210349829684567
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.3,-0.0167739032615725
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.31,-0.0128173061067959
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.32,-0.00914970377516136
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.33,-0.00575654951631556
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.34,-0.00262433920382167
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.35,0.000259728453303186
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.36,0.00290761638668211
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.37,0.00533056296081512
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.38,0.00753918144697986
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.39,0.00954344951155252
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.4,0.0113527799176469
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.41,0.0129760911901323
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.42,0.0144217546111409
