"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.18,-0.101489074786274
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.19,-0.0919289055017244
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.2,-0.0830189943246009
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.21,-0.074708605625421
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.22,-0.0669597197320516
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.23,-0.0597382963373526
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.24,-0.0530127879512142
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.25,-0.046754100091825
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.26,-0.0409354389137096
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.27,-0.0355320076101402
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.28,-0.0305205237343621
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.29,-0.0258797255898933
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.3,-0.0215899726019052
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.31,-0.0176322974285526
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.32,-0.0139895746450684
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.33,-0.0106456908965749
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.34,-0.00758541690277644
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.35,-0.0047946758367559
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.36,-0.00226013095092109
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.37,3.06812412830082e-05
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.38,0.00208947446801924
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.39,0.00392733577936652
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.4,0.00555442576309179
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.41,0.0069807622055799
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.42,0.00821550077144754
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.43,0.00926736687040309
"27","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.44,0.0101445734191583
"28","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.45,0.0108549238975491
"29","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.46,0.0114058021238166
"30","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.47,0.0118041963193555
"31","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.48,0.0120566606264324
"32","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.49,0.0121695466814286
"33","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.5,0.012148774798084
"34","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.51,0.0120000173184154
"35","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.52,0.011728630679828
"36","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.53,0.0113397286650319
"37","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.54,0.0108381886252063
"38","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.55,0.0102286364846526
"39","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.56,0.00951540072363658
"40","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.57,0.00870275655361096
"41","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.58,0.00779466945311284
"42","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.59,0.00679497086301896
"43","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.6,0.00570726160261878
"44","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.61,0.00453503387939717
"45","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.62,0.00328159448158888
"46","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.63,0.00195009539406911
"47","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.64,0.000543549198893892
"48","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.65,-0.000935136594355076
"49","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.66,-0.00248321301970279
"50","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.67,-0.00409804313893261
"51","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.68,-0.00577709993945199
"52","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.69,-0.00751796997307231
"53","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.7,-0.00931834030317594
"54","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.71,-0.0111759965353864
"55","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.72,-0.0130888119139619
"56","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.73,-0.0150547657409612
"57","Dose-toxicity scenario 2","Dose-efficacy scenario 4",0.74,-0.0170718955503753
