"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0,1.25720996557079,"Estimated MTD"
"y_est2","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.01,1.22800619541067,"Estimated MTD"
"y_est3","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.02,1.19968288823893,"Estimated MTD"
"y_est4","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.03,1.17220081781935,"Estimated MTD"
"y_est5","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.04,1.14552305395228,"Estimated MTD"
"y_est6","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.05,1.11961479690448,"Estimated MTD"
"y_est7","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.06,1.09444322596279,"Estimated MTD"
"y_est8","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.07,1.06997736072543,"Estimated MTD"
"y_est9","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.08,1.04618793389854,"Estimated MTD"
"y_est10","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.09,1.0230472744997,"Estimated MTD"
"y_est11","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.1,1.00052920048843,"Estimated MTD"
"y_est12","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.11,0.978608919947847,"Estimated MTD"
"y_est13","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.12,0.957262940033237,"Estimated MTD"
"y_est14","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.13,0.936468982984662,"Estimated MTD"
"y_est15","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.14,0.916205908572268,"Estimated MTD"
"y_est16","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.15,0.896453642406812,"Estimated MTD"
"y_est17","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.16,0.877193109604302,"Estimated MTD"
"y_est18","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.17,0.858406173344011,"Estimated MTD"
"y_est19","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.18,0.840075577903813,"Estimated MTD"
"y_est20","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.19,0.822184895796786,"Estimated MTD"
"y_est21","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.2,0.804718478668674,"Estimated MTD"
"y_est22","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.21,0.787661411647698,"Estimated MTD"
"y_est23","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.22,0.770999470866838,"Estimated MTD"
"y_est24","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.23,0.754719083904285,"Estimated MTD"
"y_est25","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.24,0.738807292910839,"Estimated MTD"
"y_est26","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.25,0.723251720213724,"Estimated MTD"
"y_est27","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.26,0.708040536204907,"Estimated MTD"
"y_est28","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.27,0.693162429338861,"Estimated MTD"
"y_est29","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.28,0.67860657807984,"Estimated MTD"
"y_est30","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.29,0.66436262465248,"Estimated MTD"
"y_est31","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.3,0.650420650461886,"Estimated MTD"
