"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",1,0
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.998,0.1
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.994,0.2
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.984,0.3
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.964,0.4
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.95,0.5
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.92,0.6
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.885,0.7
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.834,0.8
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.731,0.9
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Power",0.222,1
