"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.18,-0.05231956480567
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.19,-0.046680021690398
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.2,-0.0414486693621093
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.21,-0.0365935360397657
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.22,-0.0320902661965251
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.23,-0.02791887659582
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.24,-0.0240606624621016
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.25,-0.0204983534701755
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.26,-0.017215429710817
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.27,-0.0141972428245378
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.28,-0.011429658616018
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.29,-0.00889963043713073
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.3,-0.00659485565458326
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.31,-0.00450355045068548
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.32,-0.00261551586848132
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.33,-0.000920284744948013
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.34,0.000591665056381678
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.35,0.00192921837472151
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.36,0.00310095047712513
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.37,0.00411472790320903
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.38,0.004978214570504
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.39,0.00569852084795014
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.4,0.00628240532225486
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.41,0.00673631699349691
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.42,0.00706624890326401
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.43,0.0072781325372379
