"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",1,0
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.997,0.1
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.987,0.2
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.976,0.3
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.964,0.4
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.955,0.5
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.925,0.6
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.898,0.7
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.845,0.8
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.741,0.9
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Power",0.192,1
