"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.02,0.478,"Threshold 1"
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.03,0.507,"Threshold 1"
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.04,0.529,"Threshold 1"
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.05,0.557,"Threshold 1"
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.06,0.573,"Threshold 1"
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.07,0.584,"Threshold 1"
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.08,0.586,"Threshold 1"
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.09,0.592,"Threshold 1"
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.1,0.604,"Threshold 1"
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.11,0.613,"Threshold 1"
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.12,0.622,"Threshold 1"
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.13,0.629,"Threshold 1"
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.14,0.638,"Threshold 1"
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.15,0.649,"Threshold 1"
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.16,0.656,"Threshold 1"
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.17,0.665,"Threshold 1"
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.18,0.67,"Threshold 1"
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.19,0.676,"Threshold 1"
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.2,0.685,"Threshold 1"
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.21,0.693,"Threshold 1"
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.22,0.701,"Threshold 1"
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.23,0.713,"Threshold 1"
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.24,0.724,"Threshold 1"
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.25,0.729,"Threshold 1"
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.26,0.738,"Threshold 1"
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.27,0.745,"Threshold 1"
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.28,0.755,"Threshold 1"
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.29,0.759,"Threshold 1"
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.3,0.766,"Threshold 1"
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.31,0.778,"Threshold 1"
