"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.18,-0.0977713059803035
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.19,-0.0895206178891377
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.2,-0.0817848137741717
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.21,-0.0745204661344691
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.22,-0.0676952303070169
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.23,-0.0612836215238952
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.24,-0.0552627531082849
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.25,-0.0496105273905871
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.26,-0.0443081190446644
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.27,-0.0393359981121344
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.28,-0.0346771984857263
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.29,-0.0303157155192823
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.3,-0.0262364094784894
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.31,-0.0224252574118812
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.32,-0.0188690333015778
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.33,-0.0155553581071931
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.34,-0.0124725917486623
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.35,-0.009609769919558
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.36,-0.00695657914872354
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.37,-0.00450328831758507
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.38,-0.00224066727382172
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.39,-0.000160146423497261
