"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.18,-0.0157188049780438
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.19,-0.0103597661050207
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.2,-0.00545706853447514
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.21,-0.000981885723114004
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.22,0.0030917588166763
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.23,0.00678778374955132
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.24,0.0101282333678098
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.25,0.013133512437046
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.26,0.015822514060539
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.27,0.0182125738756236
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.28,0.0203204862402664
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.29,0.0221610534190619
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.3,0.0237484666334382
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.31,0.0250960029533053
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.32,0.0262160253925779
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.33,0.0271201702123899
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.34,0.0278192664746694
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.35,0.0283235790655507
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.36,0.0286427199379662
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.37,0.0287856967121133
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.38,0.0287610783120498
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.39,0.0285769355851205
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.4,0.0282407775591801
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.41,0.027759863550111
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.42,0.0271410067720611
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.43,0.0263905696026581
"27","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.44,0.0255147095345343
"28","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.45,0.024519136380094
"29","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.46,0.0234093826653617
"30","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.47,0.0221906324583369
"31","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.48,0.0208678393415782
"32","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.49,0.0194456850536036
"33","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.5,0.0179286377362333
"34","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.51,0.0163209504764882
"35","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.52,0.0146265901028637
"36","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.53,0.0128495960136771
"37","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.54,0.0109934596600677
"38","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.55,0.00906170406426169
"39","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.56,0.00705768101468734
"40","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.57,0.00498455578638407
"41","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.58,0.00284538442267187
"42","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.59,0.00064298062661749
"43","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.6,-0.00161983692302733
"44","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.61,-0.00394045631747692
"45","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.62,-0.00631636515432425
"46","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.63,-0.00874517048351659
"47","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.64,-0.0112245627423377
"48","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.65,-0.0137523770058115
"49","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.66,-0.016326509527009
"50","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.67,-0.018944969898377
"51","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.68,-0.0216058202345482
"52","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.69,-0.0243072666023569
"53","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.7,-0.0270475385515692
"54","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.71,-0.0298249688124986
"55","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.72,-0.0326379549934531
"56","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.73,-0.0354849746206777
"57","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.74,-0.0383645513246899
"58","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.75,-0.0412752855283311
