"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0,0.935878529381729,"Estimated MTD"
"y_est2","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.01,0.923805662137138,"Estimated MTD"
"y_est3","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.02,0.91179949352271,"Estimated MTD"
"y_est4","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.03,0.899859472329002,"Estimated MTD"
"y_est5","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.04,0.887985053403609,"Estimated MTD"
"y_est6","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.05,0.876175697568196,"Estimated MTD"
"y_est7","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.06,0.864430871536886,"Estimated MTD"
"y_est8","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.07,0.852750047835986,"Estimated MTD"
"y_est9","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.08,0.841132704725018,"Estimated MTD"
"y_est10","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.09,0.829578326119037,"Estimated MTD"
"y_est11","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.1,0.818086401512207,"Estimated MTD"
"y_est12","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.11,0.806656425902614,"Estimated MTD"
"y_est13","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.12,0.795287899718288,"Estimated MTD"
"y_est14","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.13,0.783980328744422,"Estimated MTD"
"y_est15","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.14,0.772733224051754,"Estimated MTD"
"y_est16","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.15,0.761546101926093,"Estimated MTD"
"y_est17","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.16,0.750418483798973,"Estimated MTD"
"y_est18","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.17,0.739349896179411,"Estimated MTD"
"y_est19","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.18,0.728339870586744,"Estimated MTD"
"y_est20","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.19,0.717387943484534,"Estimated MTD"
"y_est21","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.2,0.706493656215516,"Estimated MTD"
"y_est22","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.21,0.695656554937565,"Estimated MTD"
"y_est23","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.22,0.684876190560674,"Estimated MTD"
"y_est24","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.23,0.674152118684921,"Estimated MTD"
"y_est25","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.24,0.663483899539398,"Estimated MTD"
"y_est26","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.25,0.652871097922099,"Estimated MTD"
"y_est27","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.26,0.642313283140737,"Estimated MTD"
"y_est28","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.27,0.63181002895448,"Estimated MTD"
"y_est29","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.28,0.621360913516595,"Estimated MTD"
"y_est30","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.29,0.610965519317961,"Estimated MTD"
"y_est31","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.3,0.600623433131467,"Estimated MTD"
"y_est32","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.31,0.590334245957257,"Estimated MTD"
"y_est33","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.32,0.580097552968805,"Estimated MTD"
"y_est34","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.33,0.569912953459832,"Estimated MTD"
"y_est35","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.34,0.559780050792012,"Estimated MTD"
"y_est36","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.35,0.549698452343481,"Estimated MTD"
"y_est37","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.36,0.539667769458131,"Estimated MTD"
"y_est38","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.37,0.529687617395661,"Estimated MTD"
"y_est39","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.38,0.519757615282384,"Estimated MTD"
"y_est40","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.39,0.509877386062779,"Estimated MTD"
"y_est41","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.4,0.500046556451761,"Estimated MTD"
"y_est42","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.41,0.490264756887671,"Estimated MTD"
"y_est43","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.42,0.480531621485969,"Estimated MTD"
"y_est44","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.43,0.47084678799361,"Estimated MTD"
"y_est45","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.44,0.4612098977441,"Estimated MTD"
"y_est46","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.45,0.451620595613224,"Estimated MTD"
"y_est47","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.46,0.442078529975421,"Estimated MTD"
"y_est48","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.47,0.432583352660801,"Estimated MTD"
"y_est49","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.48,0.423134718912802,"Estimated MTD"
"y_est50","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.49,0.413732287346461,"Estimated MTD"
"y_est51","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.5,0.404375719907299,"Estimated MTD"
"y_est52","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.51,0.395064681830806,"Estimated MTD"
"y_est53","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.52,0.385798841602514,"Estimated MTD"
"y_est54","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.53,0.376577870918652,"Estimated MTD"
"y_est55","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.54,0.36740144464737,"Estimated MTD"
"y_est56","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.55,0.358269240790528,"Estimated MTD"
"y_est57","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.56,0.349180940446025,"Estimated MTD"
"y_est58","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.57,0.340136227770684,"Estimated MTD"
"y_est59","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.58,0.331134789943662,"Estimated MTD"
"y_est60","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.59,0.322176317130381,"Estimated MTD"
"y_est61","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.6,0.313260502446983,"Estimated MTD"
"y_est62","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.61,0.304387041925283,"Estimated MTD"
"y_est63","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.62,0.295555634478229,"Estimated MTD"
"y_est64","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.63,0.286765981865841,"Estimated MTD"
"y_est65","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.64,0.278017788661643,"Estimated MTD"
"y_est66","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.65,0.269310762219562,"Estimated MTD"
"y_est67","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.66,0.260644612641293,"Estimated MTD"
"y_est68","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.67,0.25201905274413,"Estimated MTD"
"y_est69","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.68,0.243433798029237,"Estimated MTD"
"y_est70","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.69,0.234888566650373,"Estimated MTD"
"y_est71","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.7,0.226383079383043,"Estimated MTD"
"y_est72","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.71,0.217917059594092,"Estimated MTD"
"y_est73","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.72,0.209490233211707,"Estimated MTD"
"y_est74","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.73,0.201102328695844,"Estimated MTD"
"y_est75","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.74,0.192753077009059,"Estimated MTD"
"y_est76","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.75,0.184442211587747,"Estimated MTD"
"y_est77","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.76,0.176169468313769,"Estimated MTD"
"y_est78","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.77,0.167934585486477,"Estimated MTD"
"y_est79","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.78,0.159737303795111,"Estimated MTD"
"y_est80","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.79,0.15157736629159,"Estimated MTD"
"y_est81","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.8,0.143454518363653,"Estimated MTD"
"y_est82","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.81,0.135368507708385,"Estimated MTD"
"y_est83","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.82,0.127319084306092,"Estimated MTD"
"y_est84","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.83,0.119306000394528,"Estimated MTD"
"y_est85","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.84,0.111329010443479,"Estimated MTD"
"y_est86","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.85,0.103387871129681,"Estimated MTD"
"y_est87","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.86,0.0954823413120802,"Estimated MTD"
"y_est88","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.87,0.0876121820074265,"Estimated MTD"
"y_est89","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.88,0.0797771563661878,"Estimated MTD"
"y_est90","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.89,0.0719770296487921,"Estimated MTD"
"y_est91","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.9,0.0642115692021836,"Estimated MTD"
"y_est92","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.91,0.0564805444366914,"Estimated MTD"
"y_est93","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.92,0.0487837268032047,"Estimated MTD"
"y_est94","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.93,0.0411208897706512,"Estimated MTD"
"y_est95","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.94,0.0334918088037723,"Estimated MTD"
"y_est96","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.95,0.0258962613411916,"Estimated MTD"
"y_est97","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.96,0.0183340267737722,"Estimated MTD"
"y_est98","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.97,0.010804886423258,"Estimated MTD"
"y_est99","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.98,0.00330862352119496,"Estimated MTD"
"y_est100","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.99,-0.00415497681187285,"Estimated MTD"
"y_est101","Dose-toxicity scenario 1","Dose-efficacy scenario 2",1,-0.0115861275869347,"Estimated MTD"
