"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.02,-0.071245224274286
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.03,-0.0651140018802939
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.04,-0.0599183721868035
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.05,-0.055552512093617
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.06,-0.0519075489844942
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.07,-0.0488782337114634
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.08,-0.04635849676142
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.09,-0.0442193013973843
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.1,-0.0423327039673112
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.11,-0.0406056227859106
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.12,-0.0389774432290878
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.13,-0.0374127721425773
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.14,-0.0358993780158582
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.15,-0.0344315404755923
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.16,-0.0330082532213943
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.17,-0.0316287364011205
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.18,-0.0302922948224714
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.19,-0.028998208496396
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.2,-0.0277456939001727
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.21,-0.0265342746415308
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.22,-0.0253630403297816
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.23,-0.0242314119344358
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.24,-0.0231387309531347
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.25,-0.0220843361151502
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.26,-0.0210676084897363
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.27,-0.0200879333454708
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.28,-0.0191446983828881
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.29,-0.0182373159471584
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.3,-0.0173652085181353
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.31,-0.0165278592649951
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.32,-0.01572463000156
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.33,-0.0149550903958436
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.34,-0.0142186924164713
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.35,-0.0135148571165072
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.36,-0.0128432178736998
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.37,-0.0122032773752337
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.38,-0.0115945699007144
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.39,-0.0110166814378993
"39","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.4,-0.010469176838811
"40","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.41,-0.00995166754070064
"41","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.42,-0.00946379472760602
"42","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.43,-0.00900516209841057
"43","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.44,-0.00857543605054223
"44","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.45,-0.00817428907609198
