"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.02,-0.0569832027307802
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.03,-0.0513867352643386
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.04,-0.0467764099339663
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.05,-0.0429919976164384
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.06,-0.0398991396103459
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.07,-0.0373601458044823
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.08,-0.035241024628769
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.09,-0.0334156330963488
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.1,-0.0317937056282503
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.11,-0.0303036670379944
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.12,-0.0289001729349279
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.13,-0.0275590063949202
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.14,-0.0262655271215507
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.15,-0.0250152086185793
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.16,-0.0238061116322628
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.17,-0.0226372996842845
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.18,-0.0215080497601349
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.19,-0.0204175831181817
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.2,-0.0193651694794523
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.21,-0.0183500843296506
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.22,-0.0173716165923488
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.23,-0.0164290557853476
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.24,-0.0155216647968782
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.25,-0.0146487649243711
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.26,-0.0138098736283081
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.27,-0.0130041057509318
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.28,-0.0122309104957384
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.29,-0.011489647626858
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.3,-0.0107797189682097
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.31,-0.0101005123635161
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.32,-0.00945146906072328
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.33,-0.00883200010466577
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.34,-0.00824156839521669
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.35,-0.00767967632668207
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.36,-0.0071457664582609
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.37,-0.0066393696463201
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.38,-0.00616000514806865
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.39,-0.00570721933861059
"39","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.4,-0.00528058382120202
"40","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.41,-0.00487969405927377
"41","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.42,-0.00450410775803441
"42","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.43,-0.00415350018412263
"43","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.44,-0.00382749412368992
"44","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.45,-0.00352575951156128
"45","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.46,-0.0032479706812612
"46","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.47,-0.00299380318013962
"47","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.48,-0.00276310886945455
"48","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.49,-0.00255546912179452
"49","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.5,-0.00237071367678924
"50","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.51,-0.00220861260715045
"51","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.52,-0.00206895142119688
"52","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.53,-0.00195153171397419
"53","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.54,-0.00185619925547055
"54","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.55,-0.00178275789847867
"55","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.56,-0.0017310994004211
"56","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.57,-0.00170104411297618
"57","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.58,-0.00169248750520574
"58","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.59,-0.00170532138562042
"59","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.6,-0.00173942001421635
"60","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.61,-0.00179469011827454
"61","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.62,-0.00187108230066312
