"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.02,-0.0617952435887251
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.03,-0.0560526435496435
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.04,-0.0512634719894775
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.05,-0.0473299440579424
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.06,-0.0440910377469208
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.07,-0.0414031517111091
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.08,-0.0391522049093319
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.09,-0.0372368676779598
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.1,-0.0355645142684456
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.11,-0.034042341830368
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.12,-0.032606208782697
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.13,-0.0312302022990409
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.14,-0.0299035523150668
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.15,-0.0286206419981162
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.16,-0.0273789834523742
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.17,-0.026177661401831
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.18,-0.0250159392815504
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.19,-0.0238931023039063
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.2,-0.0228084143501509
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.21,-0.0217611808145589
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.22,-0.0207506970809211
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.23,-0.019776287581624
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.24,-0.0188372700756527
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.25,-0.0179329928042074
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.26,-0.017062810456047
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.27,-0.0162260888740279
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.28,-0.0154221865282671
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.29,-0.0146505209102916
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.3,-0.01391049042377
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.31,-0.0132015201450242
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.32,-0.0125230199314224
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.33,-0.0118744753226335
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.34,-0.0112553350140465
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.35,-0.0106650881582038
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.36,-0.0101032459689444
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 2",0.37,-0.009569318995029
