"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",1,0
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.915,0.1
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.752,0.2
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.634,0.3
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.524,0.4
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.455,0.5
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.378,0.6
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.312,0.7
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.242,0.8
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.147,0.9
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 3","Type-I error",0.007,1
