"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.18,0.544,"Threshold 1"
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.19,0.554,"Threshold 1"
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.2,0.562,"Threshold 1"
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.21,0.572,"Threshold 1"
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.22,0.586,"Threshold 1"
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.23,0.606,"Threshold 1"
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.24,0.615,"Threshold 1"
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.25,0.639,"Threshold 1"
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.26,0.659,"Threshold 1"
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.27,0.674,"Threshold 1"
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.28,0.68,"Threshold 1"
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.29,0.696,"Threshold 1"
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.3,0.714,"Threshold 1"
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.31,0.726,"Threshold 1"
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.32,0.74,"Threshold 1"
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.33,0.756,"Threshold 1"
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.34,0.77,"Threshold 1"
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.35,0.771,"Threshold 1"
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.36,0.782,"Threshold 1"
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.37,0.79,"Threshold 1"
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.38,0.794,"Threshold 1"
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.39,0.801,"Threshold 1"
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.4,0.802,"Threshold 1"
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.41,0.805,"Threshold 1"
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.42,0.812,"Threshold 1"
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.43,0.82,"Threshold 1"
"27","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.44,0.819,"Threshold 1"
"28","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.45,0.821,"Threshold 1"
"29","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.46,0.825,"Threshold 1"
