"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",1,0
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.943,0.1
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.841,0.2
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.757,0.3
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.681,0.4
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.611,0.5
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.536,0.6
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.46,0.7
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.375,0.8
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.289,0.9
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 2","Type-I error",0.055,1
