"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.18,0.712,"Threshold 1"
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.19,0.72,"Threshold 1"
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.2,0.727,"Threshold 1"
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.21,0.729,"Threshold 1"
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.22,0.731,"Threshold 1"
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.23,0.742,"Threshold 1"
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.24,0.751,"Threshold 1"
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.25,0.75,"Threshold 1"
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.26,0.756,"Threshold 1"
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.27,0.769,"Threshold 1"
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.28,0.771,"Threshold 1"
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.29,0.772,"Threshold 1"
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.3,0.782,"Threshold 1"
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.31,0.791,"Threshold 1"
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.32,0.799,"Threshold 1"
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.33,0.803,"Threshold 1"
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.34,0.808,"Threshold 1"
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.35,0.815,"Threshold 1"
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.36,0.823,"Threshold 1"
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.37,0.829,"Threshold 1"
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.38,0.826,"Threshold 1"
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.39,0.826,"Threshold 1"
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 3",0.4,0.824,"Threshold 1"
