"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",1,0
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.928,0.1
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.709,0.2
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.578,0.3
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.497,0.4
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.426,0.5
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.342,0.6
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.263,0.7
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.177,0.8
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0.099,0.9
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 3","Type-I error",0,1
