"","DLT_scenario","EFF_scenario","type","value","delta_u"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",1,0
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.965,0.1
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.918,0.2
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.863,0.3
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.804,0.4
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.747,0.5
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.692,0.6
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.64,0.7
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.578,0.8
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.477,0.9
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 4","Type-I error",0.185,1
