"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.02,0.57,"Threshold 1"
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.03,0.601,"Threshold 1"
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.04,0.619,"Threshold 1"
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.05,0.635,"Threshold 1"
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.06,0.652,"Threshold 1"
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.07,0.66,"Threshold 1"
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.08,0.665,"Threshold 1"
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.09,0.677,"Threshold 1"
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.1,0.685,"Threshold 1"
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.11,0.694,"Threshold 1"
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.12,0.704,"Threshold 1"
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.13,0.712,"Threshold 1"
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.14,0.724,"Threshold 1"
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.15,0.731,"Threshold 1"
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.16,0.737,"Threshold 1"
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.17,0.744,"Threshold 1"
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.18,0.756,"Threshold 1"
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.19,0.763,"Threshold 1"
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.2,0.765,"Threshold 1"
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.21,0.769,"Threshold 1"
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.22,0.776,"Threshold 1"
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.23,0.779,"Threshold 1"
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.24,0.795,"Threshold 1"
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.25,0.805,"Threshold 1"
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.26,0.807,"Threshold 1"
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.27,0.815,"Threshold 1"
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.28,0.821,"Threshold 1"
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.29,0.83,"Threshold 1"
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.3,0.839,"Threshold 1"
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.31,0.846,"Threshold 1"
"31","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.32,0.855,"Threshold 1"
"32","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.33,0.865,"Threshold 1"
"33","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.34,0.873,"Threshold 1"
"34","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.35,0.876,"Threshold 1"
"35","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.36,0.877,"Threshold 1"
"36","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.37,0.881,"Threshold 1"
"37","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.38,0.88,"Threshold 1"
"38","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.39,0.882,"Threshold 1"
"39","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.4,0.884,"Threshold 1"
"40","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.41,0.889,"Threshold 1"
"41","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.42,0.893,"Threshold 1"
"42","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.43,0.89,"Threshold 1"
"43","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.44,0.886,"Threshold 1"
"44","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.45,0.879,"Threshold 1"
"45","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.46,0.878,"Threshold 1"
"46","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.47,0.875,"Threshold 1"
"47","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.48,0.874,"Threshold 1"
"48","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.49,0.874,"Threshold 1"
"49","Dose-toxicity scenario 1","Dose-efficacy scenario 1",0.5,0.868,"Threshold 1"
